recorded_at,batch_id,title,set_id,card_no,name,rarity,currency,amount,psa10
2026-08-16T06:12:10+09:00,20260816-061210-xong,テスト,M2,13,メガリザードンXex,RR,¥,50000,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,S10D,52,イーブイ,C,¥,1212,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,S10P,54,イーブイ,C,¥,12121,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,S10b,54,イーブイ,C,¥,1111,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,S10b,55,かがやくイーブイ,K,¥,11111,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,S4,83,イーブイ,C,¥,11,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,S6a,58,イーブイ,C,¥,1111,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,S8b,210,イーブイ,R,¥,11,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,SM5M,46,イーブイ,C,¥,0,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,SM8b,105,イーブイ,R,¥,0,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,SV5a,50,イーブイ,C,¥,0,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,SM9,106,イーブイ&カビゴンGX,R,¥,0,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,XY3,75,イーブイ,C,¥,0,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,XY7,63,イーブイ,C,¥,0,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,SV8a,93,ブラッキーex,RR,¥,111111,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,SV8a,217,ブラッキーex,R,¥,0,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,XY10,42,ブラッキーEX,RR,¥,0,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,XYP,140,ブラッキー,,¥,0,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,S6a,47,ブラッキーV,RR,¥,0,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,S6a,85,ブラッキーV,R,¥,0,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,S8b,101,ブラッキーVMAX,R,¥,0,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,S8b,244,ブラッキーV,R,¥,0,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,SM8b,229,ブラッキーGX,R,¥,11108,
2026-08-16T06:30:15+09:00,20260815213015.-ixzh,ポケモンカード買取表,XYP,140,ブラッキー,,¥,0,
